idHVIngresos,strTengoIngresos,strAnioIngresos,decRemuBrutaPublico,decRemuBrutaPrivado,decRentaIndividualPublico,decRentaIndividualPrivado,decOtroIngresoPublico,decOtroIngresoPrivado,idEstado,strUsuario,idHojaVida
131470,1,2018,0,11160,0,18840,0,0,1,,132827
131405,1,2018,0,0,16000,67200,0,55320,1,,132708
131378,1,2018,0,0,0,42126,0,0,1,,132724
131431,1,2018,27957.36,0,0,0,0,0,1,,132778
131451,1,2018,0,0,0,0,0,36000,1,,132809
131439,1,2018,0,24000,0,0,0,0,1,,132796
131463,2,,0,0,0,0,0,0,1,,132817
129144,1,2018,165315,0,0,4500,0,0,1,,130346
129176,1,2018,0,33600,0,0,0,80000,1,,130378
129175,1,2018,0,0,0,0,0,71500,1,,130381
131820,1,2018,27000,10000,0,0,0,0,1,,133159
131953,1,2018,0,0,0,0,0,55630,1,,133282
131772,1,2018,0,11160,0,54000,0,0,1,,133115
131963,1,2018,0,0,0,12000,0,0,1,,133306
131838,1,2018,0,11600,0,36000,0,0,1,,133169
131807,1,2018,22000,5000,0,5000,0,0,1,,133141
131191,1,2018,60000,10000,0,0,0,12000,1,,132528
131239,1,2018,0,0,0,30000,0,0,1,,132599
131215,1,2018,0,0,0,0,0,1733778,1,,132561
130262,1,2018,0,85000,0,0,0,0,1,,131567
130264,1,2018,0,43280,0,0,0,0,1,,131154
130751,2,,0,0,0,0,0,0,1,,132076
131068,1,2018,35000,0,0,0,0,0,1,,132408
130596,1,2018,34200,0,0,0,400,0,1,,131906
130389,1,2018,0,0,0,0,0,0,1,,131703
130640,1,2018,0,0,0,12000,0,0,1,,131961
131634,1,2018,74813,0,0,25858,0,0,1,,132951
131638,1,2018,25261,0,0,0,0,0,1,,132979
131645,2,,0,0,0,0,0,0,1,,132988
130004,2,,0,0,0,0,0,0,1,,131233
130404,2,,0,0,0,0,0,0,1,,131319
130148,2,,0,0,0,0,0,0,1,,131401
130224,2,,0,0,0,0,0,0,1,,131508
130232,2,,0,0,0,0,0,0,1,,131536
130223,2,,0,0,0,0,0,0,1,,131528
130809,1,2018,25000,0,25000,0,0,45800,1,,132139
130855,1,2018,0,0,0,36000,0,0,1,,132186
130826,1,2018,0,0,24000,10000,0,0,1,,132162
130842,1,2018,24000,0,0,36000,0,0,1,,132174
130852,1,2018,0,21300,0,0,0,0,1,,132180
131904,1,2018,0,0,20000,2000,0,0,1,,132966
131580,1,2018,60000,0,0,10000,0,0,1,,132903
132201,1,2018,0,0,1300,0,0,0,1,,133280
130155,1,2018,36201.76,0,0,0,0,0,1,,131211
129996,1,2018,30000,0,0,0,0,0,1,,131285
129713,1,2018,17600,0,0,4000,0,0,1,,130965
130082,1,2018,94560,0,0,0,0,0,1,,131369
130087,1,2018,0,0,16000,0,0,0,1,,131390
130098,1,2018,1800,0,0,0,0,0,1,,131395
132196,1,2018,134288,0,0,0,21060,0,1,,133553
132209,1,2018,47427,0,0,50000,0,0,1,,133560
132214,2,,0,0,0,0,0,0,1,,133566
132215,1,2018,0,0,0,0,0,7200,1,,133568
129835,1,2018,0,0,0,36000,0,0,1,,131117
129958,1,2018,0,0,13900,2000,0,0,1,,131257
