Congresita,AdmisionVacancia,VotacionVacancia,Email ,ORGPOL,DEPARTAMENTO1,Sentencia1,Sentencia2,PROTESTA1
EDUARDO GEOVANNI ACATE CORONEL,0,1,eacate@congreso.gob.pe,ALIANZA PARA EL PROGRESO,LORETO,0,0,
HUMBERTO ACUÑA PERALTA,no voto,1,hacuna@congreso.gob.pe,ALIANZA PARA EL PROGRESO,LAMBAYEQUE,0,1,
MANUEL AGUILAR ZAMORA,1,0,maguilarz@congreso.gob.pe,ACCION POPULAR,SAN MARTIN,0,0,
EDGAR ARNOLD ALARCON TEJADA,1,1,ealarcont@congreso.gob.pe,UNION POR EL PERU,AREQUIPA,1,0,
HIRMA NORMA ALENCASTRE MIRANDA,0,1,halencastre@congreso.gob.pe,PARTIDO DEMOCRATICO SOMOS PERU,ANCASH,0,1,
GUILLERMO ALEJANDRO ANTONIO ALIAGA PAJARES,no voto,1,galiaga@congreso.gob.pe,PARTIDO DEMOCRATICO SOMOS PERU,LIMA,0,2,
CARLOS ALBERTO ALMERI VERAMENDI,2,1,calmeri@congreso.gob.pe,PODEMOS PERU,LIMA PROVINCIAS,0,0,
GILBERT JUAN ALONZO FERNANDEZ,1,1,galonzo@congreso.gob.pe,FUERZA POPULAR,ICA,0,0,
JOSE LUIS ANCALLE GUTIERREZ,1,1,jancalle@congreso.gob.pe,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",AREQUIPA,0,0,
YESSICA MARISELA APAZA QUISPE,1,1,yapaza@congreso.gob.pe,UNION POR EL PERU,PUNO,1,0,
JESUS ORLANDO ARAPA ROQUE,1,1,jarapa@congreso.gob.pe,ACCION POPULAR,PUNO,0,0,
WALTER YONNI ASCONA CALDERON,0,2,wascona@congreso.gob.pe,ALIANZA PARA EL PROGRESO,MOQUEGUA,0,0,
RITA ELENA AYASTA DE DIAZ,1,1,rayasta@congreso.gob.pe,FUERZA POPULAR,LAMBAYEQUE,0,0,
JULIA BENIGNA AYQUIPA TORRES,2,1,jayquipa@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,ICA,0,0,
WILMER SOLIS BAJONERO OLIVAS,1,1,wbajonero@congreso.gob.pe,ACCION POPULAR,HUANUCO,0,1,
BETTO BARRIONUEVO ROMERO,1,1,bbarrionuevo@congreso.gob.pe,PARTIDO DEMOCRATICO SOMOS PERU,ANCASH,0,1,
MARIA ISABEL BARTOLO ROMERO,1,1,mbartolo@congreso.gob.pe,UNION POR EL PERU,ANCASH,2,0,
LENIN FERNANDO BAZAN VILLANUEVA,1,1,lbazan@congreso.gob.pe,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",LA LIBERTAD,2,0,
WALTER BENAVIDES GAVIDIA,0,1,wbenavides@congreso.gob.pe,ALIANZA PARA EL PROGRESO,CAJAMARCA,0,0,
ALFREDO BENITES AGURTO,2,1,abenites@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,LIMA PROVINCIAS,0,0,
RICARDO MIGUEL BURGA CHUQUIPIONDO,1,1,rburga@congreso.gob.pe,ACCION POPULAR,LIMA,0,0,
MARIA TERESA CABRERA VEGA,1,1,mcabrera@congreso.gob.pe,PODEMOS PERU,LIMA,3,3,1
ROLANDO CAMPOS VILLALOBOS,0,0,r_campos@congreso.gob.pe,ACCION POPULAR,LAMBAYEQUE,0,0,
IRENE CARCAUSTO HUANCA,0,1,icarcausto@congreso.gob.pe,ALIANZA PARA EL PROGRESO,PUNO,0,0,
LUIS FELIPE CASTILLO OLIVA,1,1,lcastilloo@congreso.gob.pe,PODEMOS PERU,LIMA,3,3,
LUZ MILAGROS CAYGUARAY GAMBINI,2,1,lcayguaray@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,LORETO,0,0,
WILMER CAYLLAHUA BARRIENTOS,2,1,wcayllahua@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,LIMA,0,0,1
MARIA TERESA CESPEDES CARDENAS DE VELASQUEZ,2,1,mcespedes@congreso.gob.pe,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,LIMA,0,0,
POSEMOSCROWTE IRRHOSCOPT CHAGUA PAYANO,1,1,pchagua@congreso.gob.pe,UNION POR EL PERU,HUANCAVELICA,1,0,
HIPOLITO CHAIÑA CONTRERAS,1,1,hchaina@congreso.gob.pe,UNION POR EL PERU,AREQUIPA,1,0,
ROBERTO CARLOS CHAVARRIA VILCATOMA,1,1,rchavarria@congreso.gob.pe,UNION POR EL PERU,JUNIN,1,0,
MARTHA GLADYS CHAVEZ COSSIO,1,1,mchavez@congreso.gob.pe,FUERZA POPULAR,LIMA,0,2,1
LENIN ABRAHAM CHECCO CHAUCA,1,1,lchecco@congreso.gob.pe,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",APURIMAC,0,0,
OMAR KARIM CHEHADE MOYA,0,1,ochehade@congreso.gob.pe,ALIANZA PARA EL PROGRESO,LIMA,1,1,1
DIETHELL COLUMBUS MURATA,1,1,dcolumbus@congreso.gob.pe,FUERZA POPULAR,LIMA,0,2,
CESAR AUGUSTO COMBINA SALVATIERRA,0,1,ccombina@congreso.gob.pe,ALIANZA PARA EL PROGRESO,JUNIN,1,1,
JULIO FREDY CONDORI FLORES,0,1,jcondori@congreso.gob.pe,ALIANZA PARA EL PROGRESO,ICA,0,0,
CINDY ARLETTE CONTRERAS BAUTISTA,2,2,ccontrerasb@congreso.gob.pe,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",LIMA,0,0,
GINO FRANCISCO COSTA SANTOLALLA,0,0,gcosta@congreso.gob.pe,PARTIDO MORADO,LIMA,0,0,
ALBERTO DE BELAUNDE DE CARDENAS,0,0,adebelaunde@congreso.gob.pe,PARTIDO MORADO,LIMA,0,0,0
LUIS REYMUNDO DIOSES GUZMAN,0,1,ldioses@congreso.gob.pe,PARTIDO DEMOCRATICO SOMOS PERU,PIURA,1,2,
KENYON EDUARDO DURAND BUSTAMANTE,1,1,kdurand@congreso.gob.pe,ACCION POPULAR,HUANCAVELICA,0,0,
RENNAN SAMUEL ESPINOZA ROSALES,0,0,respinoza@congreso.gob.pe,PARTIDO DEMOCRATICO SOMOS PERU,LIMA,0,2,
YEREMI ARON ESPINOZA VELARDE,1,1,yespinoza@congreso.gob.pe,PODEMOS PERU,LIMA,3,3,
YESSY NELIDA FABIAN DIAZ,no voto,1,yfabian@congreso.gob.pe,ACCION POPULAR,HUANUCO,0,1,
